==========================================
视语灵枢项目 - 自动化训练日志启动
启动时间: 2026-05-08 16:17:57
日志保存至: logs/train_20260508_1617.log
==========================================

检测到断点，从 Epoch 5 继续炼丹...

[16:21:29] Epoch 5 | Step 3800/18850 | Loss: 5.0917
[16:21:30] Epoch 5 | Step 3820/18850 | Loss: 5.3990
[16:21:31] Epoch 5 | Step 3840/18850 | Loss: 5.0185
[16:21:32] Epoch 5 | Step 3860/18850 | Loss: 4.6218
[16:21:33] Epoch 5 | Step 3880/18850 | Loss: 5.2044
[16:21:34] Epoch 5 | Step 3900/18850 | Loss: 5.8261
[16:21:36] Epoch 5 | Step 3920/18850 | Loss: 4.7924
[16:21:37] Epoch 5 | Step 3940/18850 | Loss: 4.5123
[16:21:38] Epoch 5 | Step 3960/18850 | Loss: 4.9250
[16:21:39] Epoch 5 | Step 3980/18850 | Loss: 6.2244
[16:21:40] Epoch 5 | Step 4000/18850 | Loss: 5.5381
[16:21:41] Epoch 5 | Step 4020/18850 | Loss: 5.4700
[16:21:42] Epoch 5 | Step 4040/18850 | Loss: 5.1158
[16:21:43] Epoch 5 | Step 4060/18850 | Loss: 5.3815
[16:21:44] Epoch 5 | Step 4080/18850 | Loss: 5.5499
[16:21:45] Epoch 5 | Step 4100/18850 | Loss: 5.2465
[16:21:47] Epoch 5 | Step 4120/18850 | Loss: 5.3281
[16:21:48] Epoch 5 | Step 4140/18850 | Loss: 5.0532
[16:21:49] Epoch 5 | Step 4160/18850 | Loss: 5.0353
[16:21:50] Epoch 5 | Step 4180/18850 | Loss: 5.5272
[16:21:51] Epoch 5 | Step 4200/18850 | Loss: 5.4241
[16:21:52] Epoch 5 | Step 4220/18850 | Loss: 5.4593
[16:21:53] Epoch 5 | Step 4240/18850 | Loss: 4.9691
[16:21:54] Epoch 5 | Step 4260/18850 | Loss: 4.4704
[16:21:55] Epoch 5 | Step 4280/18850 | Loss: 4.9263
[16:21:57] Epoch 5 | Step 4300/18850 | Loss: 5.1647
[16:21:58] Epoch 5 | Step 4320/18850 | Loss: 5.1223
[16:21:59] Epoch 5 | Step 4340/18850 | Loss: 5.1742
[16:22:00] Epoch 5 | Step 4360/18850 | Loss: 5.1754
[16:22:01] Epoch 5 | Step 4380/18850 | Loss: 5.4809
[16:22:02] Epoch 5 | Step 4400/18850 | Loss: 4.2289
[16:22:03] Epoch 5 | Step 4420/18850 | Loss: 5.0426
[16:22:04] Epoch 5 | Step 4440/18850 | Loss: 4.7566
[16:22:06] Epoch 5 | Step 4460/18850 | Loss: 5.2794
[16:22:07] Epoch 5 | Step 4480/18850 | Loss: 5.4958
[16:22:08] Epoch 5 | Step 4500/18850 | Loss: 4.9631
[16:22:09] Epoch 5 | Step 4520/18850 | Loss: 5.2077
[16:22:10] Epoch 5 | Step 4540/18850 | Loss: 4.9736
[16:22:11] Epoch 5 | Step 4560/18850 | Loss: 5.2473
[16:22:12] Epoch 5 | Step 4580/18850 | Loss: 5.4584
[16:22:13] Epoch 5 | Step 4600/18850 | Loss: 5.6142
[16:22:14] Epoch 5 | Step 4620/18850 | Loss: 5.0839
[16:22:15] Epoch 5 | Step 4640/18850 | Loss: 5.4479
[16:22:16] Epoch 5 | Step 4660/18850 | Loss: 5.4333
[16:22:17] Epoch 5 | Step 4680/18850 | Loss: 5.2705
[16:22:18] Epoch 5 | Step 4700/18850 | Loss: 5.5201
[16:22:19] Epoch 5 | Step 4720/18850 | Loss: 5.5214
